Year,Ward code,Borough,Ward,Name,Party,Votes,Elected,Rank,Ballot position,Party position,Num candidates
2010,00ACGM,Barnet,Mill Hill,"Tichborne, Roger M.",Lib Dem,2260,False,6,9,3,9
2010,00ACGM,Barnet,Mill Hill,"Curtis, Stephen",Lab,1461,False,7,2,1,9
2010,00ACGM,Barnet,Mill Hill,"Parnaby, Will",Lab,1402,False,8,7,3,9
2010,00ACGM,Barnet,Mill Hill,"Macauley, Agnes",Lab,1221,False,9,6,2,9
2010,00ACGN,Barnet,Oakleigh,"Salinger, Brian",Cons,3814,True,1,6,2,9
2010,00ACGN,Barnet,Oakleigh,"Rajput, Sachin",Cons,3612,True,2,5,1,9
2010,00ACGN,Barnet,Oakleigh,"Sowerby, Stephen",Cons,3586,True,3,8,3,9
2010,00ACGN,Barnet,Oakleigh,"Grant, Sylvia",Lab,1734,False,4,2,1,9
2010,00ACGN,Barnet,Oakleigh,"Finlayson, Jon",Lib Dem,1711,False,5,1,1,9
2010,00ACGN,Barnet,Oakleigh,"Sandford, Brenda",Lab,1695,False,6,7,3,9
2010,00ACGN,Barnet,Oakleigh,"Massey, Gordon",Lab,1585,False,7,4,2,9
2010,00ACGN,Barnet,Oakleigh,"Keech, David J.",Lib Dem,1543,False,8,3,2,9
2010,00ACGN,Barnet,Oakleigh,"Winston, Adele M.",Lib Dem,1473,False,9,9,3,9
2010,00ACGP,Barnet,Totteridge,"Cornelius, Alison",Cons,3739,True,1,3,2,9
2010,00ACGP,Barnet,Totteridge,"Coleman, Brian",Cons,3705,True,2,2,1,9
2010,00ACGP,Barnet,Totteridge,"Cornelius, Richard",Cons,3570,True,3,4,3,9
2010,00ACGP,Barnet,Totteridge,"Bradbury, Pamela",Lab,1469,False,4,1,1,9
2010,00ACGP,Barnet,Totteridge,"Deed, Oliver A.",Lab,1331,False,5,5,2,9
2010,00ACGP,Barnet,Totteridge,"Gilbert, Alexander L.",Lib Dem,1317,False,6,6,1,9
2010,00ACGP,Barnet,Totteridge,"Jarvis, Fred",Lab,1303,False,7,7,3,9
2010,00ACGP,Barnet,Totteridge,"Waller, Joan E.",Lib Dem,1150,False,8,8,2,9
2010,00ACGP,Barnet,Totteridge,"Wills, Elizabeth L.",Lib Dem,1072,False,9,9,3,9
2010,00ACGQ,Barnet,Underhill,"Campbell, Anita",Lab,2761,True,1,1,1,9
2010,00ACGQ,Barnet,Underhill,"Turner, Rowan",Cons,2676,True,2,7,2,9
2010,00ACGQ,Barnet,Underhill,"Strongolou, Andrew",Cons,2628,True,3,6,1,9
2010,00ACGQ,Barnet,Underhill,"Webb, Daniel",Cons,2608,False,4,8,3,9
